,UMAP1,UMAP2,profileBIC,profileAIC
231,-11.30404,1.0310909,2,2
232,0.28689653,-1.2479653,1,1
233,0.36828673,-0.89729846,1,1
234,0.15153532,0.2854132,1,1
235,2.9127297,0.88493043,1,1
236,-10.990503,-0.6513856,2,2
237,8.689458,-10.937558,0,4
238,1.9708799,-11.185706,0,0
239,-14.171079,-8.37075,0,0
240,2.5690603,-10.673665,0,0
241,-8.069492,-9.127294,0,0
242,-14.972351,-11.363406,0,0
243,-6.3215566,17.424541,2,5
244,-14.972353,-11.363401,0,0
245,-5.4320307,-6.834037,0,0
246,2.7792332,0.5578151,1,1
247,-11.053693,1.0411633,2,2
248,0.255521,-1.2300506,1,1
249,3.2349048,0.52399415,1,1
250,-0.6280959,3.1859777,2,1
251,-10.896365,-0.7727121,2,2
252,-11.276961,1.0972904,2,2
253,3.408749,-0.79816043,1,1
254,-5.458834,-6.859354,0,0
255,-5.5130134,-6.9335794,0,0
256,0.35860866,-0.9354715,1,1
257,-10.957779,-0.68218845,2,2
258,-6.5892005,3.8199575,2,2
259,0.32399473,-1.2539322,1,1
260,2.508486,0.6742542,1,1
261,0.16703604,0.26468754,1,1
262,0.7400813,1.0760182,1,1
263,-8.067384,-9.131912,0,0
264,-0.81363183,3.1746676,2,2
265,-0.70969135,3.2570794,2,2
266,4.66018,-1.0489159,1,1
267,-9.286844,11.150911,2,5
268,-0.5152553,-11.978485,0,0
269,-0.523154,-11.98944,0,0
270,-1.2863443,-17.038332,0,0
271,-11.033727,0.9752629,2,2
272,15.877958,14.103031,3,3
273,0.766147,8.948384,2,5
274,-0.82468307,2.914477,2,2
275,11.418237,3.8017063,3,3
276,3.8552573,5.3050222,1,1
277,2.4942005,0.6699454,1,1
278,4.287698,-0.014049055,1,1
279,4.758537,-1.1120017,1,1
280,-5.4028654,-6.8095317,0,0
281,-5.399148,-6.805874,0,0
282,4.2199693,-0.071380876,1,1
283,-5.3715534,-6.782857,0,0
284,-11.025051,0.99627256,2,2
285,1.1396785,1.193383,1,1
286,1.8131291,12.068511,2,5
287,4.443499,-9.010759,0,0
288,0.29598978,-1.2627611,1,1
289,2.8900125,0.88021946,1,1
290,-6.578214,3.8239167,2,2
291,1.4994972,-1.816896,1,1
292,2.9169924,0.9199237,1,1
293,4.3483663,-0.010787664,1,1
294,-1.43346,25.959661,2,5
295,16.197336,18.307287,3,3
296,13.820046,-9.275811,3,4
297,16.200191,18.310486,3,3
298,8.498541,-8.246278,0,4
299,3.3562844,-9.213834,0,0
300,14.664062,3.231628,3,3
301,-8.085507,-9.152278,0,0
302,-17.062181,-5.7452607,2,2
303,11.859094,-5.9114804,3,4
304,-5.2819853,-15.326365,0,0
305,-25.517769,9.800524,2,2
306,-25.584927,9.732944,2,2
307,-8.368602,18.10657,2,5
308,-25.54602,9.772808,2,2
309,-25.589417,9.740224,2,2
310,-7.8060107,18.768164,2,5
311,-25.493584,9.825391,2,2
312,8.01767,-8.6552925,0,4
313,2.9573164,-10.113958,0,0
314,7.686677,-21.011341,0,4
315,-10.976228,-17.365248,0,0
316,11.522594,16.919216,3,3
317,-12.700058,-12.050667,0,0
318,16.269527,18.451942,3,3
319,-25.511944,9.805409,2,2
320,17.429352,-0.2944176,3,3
321,2.0796497,-2.0068169,1,1
322,1.9923332,-11.210722,0,0
323,-13.8779335,-8.470307,0,0
324,-6.3626885,17.463078,2,5
325,-14.51121,-8.234459,0,0
326,-15.466708,-3.3813436,2,2
327,8.686983,-10.939918,0,4
328,-14.49137,-8.247494,0,0
329,2.5366137,-1.8294367,1,1
330,0.2929441,-1.2409022,1,1
331,3.6235921,-9.277959,0,0
332,1.4793376,-1.846477,1,1
333,4.009258,-0.08547556,1,1
334,-5.560891,-6.923895,0,0
335,4.346882,0.005816146,1,1
336,1.5788691,-2.0865822,1,1
337,0.23767719,-1.2757319,1,1
338,-8.061097,-9.131149,0,0
339,8.017444,-8.654878,0,4
340,12.054124,16.197964,3,3
341,7.701383,-20.996058,0,4
342,1.9366851,-1.799913,1,1
343,2.4794216,0.6570734,1,1
344,-11.432345,0.85266197,2,2
345,-11.0717945,-0.6174807,2,2
346,3.3158824,0.45241553,1,1
347,2.9020028,0.81483597,1,1
348,1.1234819,1.2408863,1,1
349,0.030784361,0.076241575,1,1
350,-5.402754,-6.8116345,0,0
351,1.8558003,12.111387,2,5
352,-11.049575,-0.6006965,2,2
353,0.15787755,0.30270374,1,1
354,2.0170035,-1.6343182,1,1
355,-11.001372,-0.69386727,2,2
356,-6.93307,3.9457028,2,2
357,3.3836422,-0.7969908,1,1
358,0.36906675,-0.9093796,1,1
359,0.46558267,-0.22618392,1,1
360,0.49568915,-0.2135345,1,1
361,-11.0434265,-0.6375988,2,2
362,-5.4624014,-6.8685446,0,0
363,0.06667634,0.04043238,1,1
364,1.6091211,-2.0872655,1,1
365,-6.3727913,3.7976387,2,2
366,1.5912081,11.834717,2,5
367,1.2418053,-1.3591548,1,1
368,1.455732,-1.7961173,1,1
369,1.598151,-2.0667589,1,1
370,3.5944026,-1.6467208,1,1
371,3.5761383,-1.6341676,1,1
372,-11.0348835,0.9749828,2,2
373,-10.969853,0.9478471,2,2
374,-11.078437,1.0298444,2,2
375,0.047020976,0.14016896,1,1
376,-6.9059706,3.9473553,2,2
377,-15.593716,-6.1697307,2,0
378,-2.2641156,17.21401,2,5
379,-6.917334,3.950911,2,2
380,24.590374,4.00169,3,3
381,11.7102375,-5.551954,3,4
382,-10.953978,-17.386774,0,0
383,-6.6619153,-14.119799,0,0
384,-19.311846,-0.010918342,2,2
385,7.1332326,20.576004,2,3
386,8.895337,16.356201,3,3
387,-17.266136,-5.56624,2,2
388,-8.378905,18.09676,2,5
389,8.180341,22.99351,2,3
390,-4.7574735,-19.359074,0,0
391,-18.318365,15.409392,2,2
392,-12.723675,-12.060731,0,0
393,16.040215,18.068174,3,3
394,-11.006581,-17.336018,0,0
395,16.997221,19.85168,3,3
396,-10.989384,-17.353266,0,0
397,10.851948,-18.36989,0,4
398,10.852928,-18.371023,0,4
399,-10.989416,-17.35324,0,0
400,7.133209,20.576323,2,3
401,-13.773238,11.703204,2,2
402,8.306405,23.11946,2,3
403,8.177547,22.990776,2,3
404,-19.698277,-12.021374,2,0
405,11.567312,-5.1369095,3,4
406,3.7082677,-9.325671,0,0
407,11.445707,16.98947,3,3
408,11.699609,-5.5250173,3,4
409,-13.778854,11.707904,2,2
410,-19.311834,-0.01082023,2,2
411,13.773216,-9.325751,3,4
412,11.817992,16.5982,3,3
413,8.895295,16.35614,3,3
414,24.87889,3.4713068,3,3
415,-5.643576,19.981813,2,5
416,-4.7574644,-19.359074,0,0
417,3.7079408,-9.317078,0,0
418,11.810508,16.600712,3,3
419,-8.3838,18.090347,2,5
420,8.302665,23.115759,2,3
421,-17.265244,-5.567298,2,2
422,13.8249035,-9.27217,3,4
423,11.700305,-5.5269637,3,4
424,-12.724586,-12.059094,0,0
425,24.875116,3.4761531,3,3
426,14.605173,3.1775987,3,3
427,3.7067776,-9.323413,0,0
428,11.819551,16.603577,3,3
429,-23.262362,-7.449447,2,0
430,8.179481,22.992737,2,3
431,17.411957,-0.30391657,3,3
432,-20.667019,-5.105315,2,2
433,-2.5591834,-1.6993186,1,2
434,-21.966944,0.6388303,2,2
435,24.839054,3.5126612,3,3
436,2.8676512,0.7988135,1,1
437,2.135344,-1.8233294,1,1
438,1.53186,-2.072723,1,1
439,4.3288703,-0.033461675,1,1
440,4.368395,-0.07924903,1,1
441,-11.180906,1.1005539,2,2
442,-7.022455,4.0613713,2,2
443,4.3382735,-0.017204633,1,1
444,2.833999,0.93071467,1,1
445,-6.9958253,4.018583,2,2
446,-7.065646,4.079308,2,2
447,-11.159403,1.0838219,2,2
448,0.37942144,-0.8845456,1,1
449,-6.4090986,3.797807,2,2
450,2.86905,0.68342775,1,1
451,-2.0816562,-14.327545,0,0
452,4.8185945,-14.007032,0,0
453,-0.17876488,-11.504379,0,0
454,2.0524347,-11.277763,0,0
455,-15.78836,-10.027063,0,0
456,-14.209134,-8.356164,0,0
457,-15.785072,-10.031946,0,0
458,13.791062,-9.305315,3,4
459,-6.3050146,17.411303,2,5
460,-14.5153475,-8.231573,0,0
461,-15.787785,-10.028081,0,0
462,1.1490664,1.2853966,1,1
463,-5.7329636,-4.0266867,0,2
464,6.332567,9.320012,1,1
465,-5.391069,-6.7980423,0,0
466,-11.419703,0.87280595,2,2
467,-10.976378,0.9496209,2,2
468,-11.070982,1.0329064,2,2
469,2.8940797,0.8724409,1,1
470,-1.7645481,2.8484383,2,2
471,-11.46296,0.80689085,2,2
472,11.896818,16.083723,3,3
473,8.115166,-11.290664,0,4
474,2.0850213,-2.0248592,1,1
475,2.4821782,0.6630538,1,1
476,0.15726723,0.2542377,1,1
477,1.0876611,1.2040291,1,1
478,1.5179093,11.753632,2,5
479,1.5401113,11.780395,2,5
480,1.5779903,-2.06468,1,1
