,UMAP1,UMAP2,UMAP3,profile
104,6.5356894,-1.9564258,19.534338,2
105,6.4478035,-1.7199609,18.998123,2
106,6.541116,-1.9505737,19.53926,2
107,6.413513,-1.7703311,18.996292,2
108,6.5317335,-1.9596611,19.530306,2
109,6.5238776,-1.9644825,19.51983,2
110,6.530911,-1.960497,19.529598,2
111,6.527415,-1.9638466,19.526493,2
112,6.5290036,-1.9626204,19.5286,2
113,6.5292616,-1.962363,19.528797,2
114,6.5281153,-1.9633085,19.52748,2
115,6.5258884,-1.9655597,19.525873,2
116,6.542485,-1.9496069,19.541807,2
117,6.1911287,-2.0535223,18.926725,2
118,6.1515536,-2.0886748,18.887407,2
119,6.164993,-2.0753071,18.898188,2
120,6.188884,-2.059929,18.932604,2
121,6.517359,-1.9732078,19.51661,2
122,6.521164,-1.969574,19.520548,2
123,6.5219927,-1.9694153,19.522406,2
124,6.523904,-1.9698792,19.527113,2
125,6.1502876,-2.0910962,18.888529,2
126,6.5105805,-1.9800628,19.510183,2
127,6.522269,-1.9681036,19.521015,2
128,6.5196443,-1.971891,19.52046,2
129,6.506614,-1.98375,19.506775,2
130,6.13864,-2.1136556,18.895227,2
131,6.126878,-2.1188831,18.877186,2
132,6.508949,-1.981138,19.508492,2
133,6.49598,-1.9923683,19.494083,2
134,6.5146136,-1.9762907,19.515207,2
135,6.5151453,-1.9760475,19.515781,2
136,6.098799,-2.1471071,18.855124,2
137,6.1126037,-2.14008,18.875563,2
138,6.112067,-2.1407185,18.87542,2
139,6.11125,-2.1425257,18.87622,2
140,6.106141,-2.1477373,18.871794,2
141,6.1179943,-2.1388245,18.88535,2
142,6.1046796,-2.1501634,18.871302,2
143,6.119047,-2.1354103,18.885035,2
144,6.061859,-2.188831,18.831774,2
145,6.086643,-2.1699166,18.857256,2
146,6.0530357,-2.1979551,18.82569,2
147,6.0591955,-2.1918209,18.829996,2
148,6.053081,-2.1982143,18.825792,2
149,6.0517583,-2.2004924,18.825823,2
150,6.049104,-2.2035623,18.824125,2
151,6.048603,-2.2013226,18.822664,2
152,6.0583982,-2.2008345,18.83663,2
153,6.0384693,-2.214537,18.816755,2
154,6.041194,-2.2166145,18.822227,2
155,6.0303316,-2.2217295,18.810781,2
156,5.8703027,-2.5568264,18.742998,2
157,5.8625093,-2.567744,18.736927,2
158,6.029573,-2.2281337,18.811884,2
159,6.0117927,-2.2465346,18.800726,2
160,6.0094633,-2.2399173,18.795738,2
161,6.0241833,-2.2337592,18.80959,2
162,5.863438,-2.5662746,18.73792,2
163,5.864332,-2.5658112,18.738958,2
164,5.8627033,-2.56781,18.737196,2
165,5.8596044,-2.5704103,18.735008,2
166,5.8623323,-2.5683117,18.736849,2
167,5.863089,-2.5677314,18.737505,2
168,5.8603344,-2.5718253,18.73548,2
169,5.911202,-2.3365874,18.72663,2
170,5.861533,-2.5692525,18.736622,2
171,5.869306,-2.5616834,18.74428,2
172,5.8588867,-2.5736802,18.734457,2
173,5.3178988,-2.784085,18.270615,2
174,5.8574166,-2.574963,18.733513,2
175,5.8462353,-2.587556,18.726444,2
176,5.8573036,-2.5754569,18.73345,2
177,5.8526654,-2.5808468,18.730518,2
178,5.8560376,-2.5773544,18.732782,2
179,5.244536,-2.8341744,18.212189,2
180,5.8572316,-2.5759385,18.733564,2
181,5.849866,-2.5795887,18.727388,2
182,5.228043,-2.8419938,18.198954,2
183,5.8505487,-2.5809934,18.728397,2
184,5.1907473,-2.8703542,18.168001,2
185,5.1895146,-2.8663857,18.169117,2
186,5.1919656,-2.8666844,18.169489,2
187,5.191759,-2.8669596,18.1695,2
188,5.1824465,-2.873162,18.160946,2
189,5.170479,-2.8832476,18.15105,2
190,5.1904564,-2.8675988,18.16838,2
191,5.174541,-2.8780801,18.156542,2
192,5.1814985,-2.872439,18.160872,2
193,5.1688976,-2.8808894,18.149294,2
194,5.151075,-2.8954515,18.134157,2
195,5.1534634,-2.894523,18.1364,2
196,5.1401405,-2.9025607,18.124216,2
